participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 601,in_person,Yes – Please list the activities __________________,Once per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 601,online,Yes – Please list the activities __________________,A few times per week,,No,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 602,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 602,online,No (skip to question 11),,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 603,in_person,Yes – Please list the activities __________________,A few times per week,,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 603,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 604,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 604,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Smoke-related health problem statistics
Participant 605,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,No,1 to 2 days,,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 605,online,Yes – Please list the activities __________________,Daily,,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 606,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 606,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 607,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 607,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 608,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 608,online,No (skip to question 11),,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 609,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 609,online,Yes – Please list the activities __________________,Daily,1 days,Yes,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 61,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 61,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,5 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 610,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 610,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Smoke-related health problem statistics
Participant 611,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 611,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 612,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Smoke-related health problem statistics
Participant 612,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 613,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 613,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 614,in_person,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,,,Air quality information
Participant 614,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 615,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 616,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 617,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 618,online,Yes – Please list the activities __________________,Daily,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 619,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 62,in_person,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Air quality information
Participant 62,online,No (skip to question 11),,2 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Air quality information
Participant 620,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 621,online,Yes – Please list the activities __________________,Daily,1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 622,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 623,online,No (skip to question 11),,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 624,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 625,online,No (skip to question 11),,0 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 626,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 627,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 628,online,Yes – Please list the activities __________________,Daily,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Advice from your doctor
Participant 629,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Yellow – Moderate,Red – Unhealthy,Air quality information
